interaction_id,source_type,source_id,target_type,target_id,severity,mechanism,recommendation
I001,drug,D001,food,F002,High,"Vitamin K promotes blood clotting and directly counteracts Warfarin's anticoagulant effect, reducing its efficacy.","Maintain consistent intake of vitamin K rich foods; avoid sudden changes in spinach/kale consumption."
I002,drug,D001,food,F003,High,"Vitamin K promotes blood clotting and directly counteracts Warfarin's anticoagulant effect, reducing its efficacy.","Maintain consistent intake of vitamin K rich foods; avoid sudden changes."
I003,drug,D001,food,F004,Moderate,"Broccoli contains vitamin K which can reduce Warfarin's blood-thinning effectiveness if consumed in large, inconsistent amounts.","Keep portion sizes consistent week to week."
I004,drug,D001,food,F007,High,"Alcohol affects liver enzymes that metabolize Warfarin, increasing bleeding risk unpredictably.","Avoid alcohol or limit to occasional small amounts with medical guidance."
I005,drug,D001,food,F011,Moderate,"Cranberry juice may inhibit the enzyme that breaks down Warfarin, increasing bleeding risk.","Avoid large quantities of cranberry juice; monitor INR levels closely."
I006,drug,D003,food,F007,Moderate,"Alcohol combined with Ibuprofen increases risk of stomach bleeding and ulcers due to combined irritation of stomach lining.","Avoid alcohol while taking Ibuprofen, especially on an empty stomach."
I007,drug,D004,food,F007,High,"Alcohol combined with Aspirin significantly increases risk of gastrointestinal bleeding.","Avoid alcohol consumption while on regular Aspirin therapy."
I008,drug,D004,food,F011,Low,"Cranberry juice may slightly enhance Aspirin's blood-thinning effect.","Monitor for unusual bruising if consuming cranberry juice regularly."
I009,drug,D005,food,F001,High,"Grapefruit inhibits CYP3A4 enzyme in the gut, causing Simvastatin to build up to dangerous levels in the bloodstream, increasing risk of muscle damage.","Avoid grapefruit and grapefruit juice entirely while taking Simvastatin."
I010,drug,D006,food,F005,Moderate,"Calcium in dairy products binds to Levothyroxine in the gut, reducing its absorption and effectiveness.","Take Levothyroxine on empty stomach, wait at least 4 hours before consuming dairy."
I011,drug,D006,food,F006,Moderate,"Calcium in milk binds to Levothyroxine, significantly reducing absorption into the bloodstream.","Separate milk consumption from medication dose by 4 hours."
I012,drug,D006,food,F015,Low,"High-fiber foods can slightly reduce the absorption rate of Levothyroxine if taken together.","Take medication 30-60 minutes before high-fiber meals."
I013,drug,D007,food,F008,Moderate,"Bananas are high in potassium, and Lisinopril already increases potassium retention, risking dangerous hyperkalemia (high potassium levels).","Limit high-potassium foods like bananas; monitor potassium levels regularly."
I014,drug,D007,food,F014,Low,"High salt intake can reduce the blood-pressure lowering effectiveness of Lisinopril.","Maintain a low-sodium diet for optimal blood pressure control."
I015,drug,D008,food,F009,Low,"Coffee may slightly reduce Omeprazole absorption if taken at the same time.","Take Omeprazole 30 minutes before breakfast, separate from coffee."
I016,drug,D009,food,F005,Low,"Dairy products can slightly reduce Amoxicillin absorption, though generally not clinically significant.","Can be taken with or without food; minor dairy interaction is usually safe."
I017,drug,D010,food,F005,High,"Calcium in dairy products binds strongly to Ciprofloxacin, forming complexes that drastically reduce drug absorption and effectiveness.","Avoid dairy products 2 hours before and after taking Ciprofloxacin."
I018,drug,D010,food,F009,Low,"Caffeine metabolism is slowed by Ciprofloxacin, potentially causing increased caffeine effects like jitteriness and rapid heartbeat.","Limit coffee intake while on Ciprofloxacin to avoid excess stimulation."
I019,drug,D011,food,F008,Moderate,"Low potassium levels (which can occur from inadequate banana/potassium intake combined with diuretics) increase Digoxin toxicity risk.","Maintain stable potassium levels through diet; monitor Digoxin levels regularly."
I020,drug,D012,food,F008,High,"Spironolactone is potassium-sparing, and combined with high-potassium foods like bananas, can cause dangerous hyperkalemia.","Avoid excessive potassium-rich foods including bananas while on Spironolactone."
I021,drug,D013,food,F005,High,"Calcium in dairy binds to Tetracycline forming insoluble complexes that prevent absorption, making the antibiotic ineffective.","Avoid dairy products 2 hours before and after Tetracycline dose."
I022,drug,D013,food,F006,High,"Milk significantly reduces Tetracycline absorption through calcium chelation, reducing antibiotic effectiveness.","Take Tetracycline on empty stomach, separated from milk by 2+ hours."
I023,drug,D014,food,F012,High,"Tyramine-rich foods combined with certain antidepressants can cause dangerous spikes in blood pressure (hypertensive crisis).","Avoid aged cheeses, cured meats, and fermented foods while on Sertraline, especially when starting treatment."
I024,drug,D014,food,F007,Moderate,"Alcohol can worsen depression symptoms and increase drowsiness/dizziness side effects of Sertraline.","Avoid or limit alcohol consumption while on Sertraline."
I025,drug,D015,food,F015,Low,"High-fiber foods and certain nutritional supplements can reduce Phenytoin absorption, lowering seizure protection.","Separate high-fiber meals from Phenytoin dosing by 1-2 hours."
I026,drug,D015,food,F004,Low,"Vitamin K rich foods like broccoli generally don't interact significantly with Phenytoin, but folate-rich foods may affect drug levels.","Maintain consistent diet; inform doctor of major dietary changes."
I027,drug,D002,food,F007,Moderate,"Alcohol combined with Metformin increases the risk of lactic acidosis, a serious metabolic complication.","Avoid excessive alcohol consumption while taking Metformin."
I028,drug,D001,drug,D004,High,"Both Warfarin and Aspirin affect blood clotting through different mechanisms; combined use significantly increases bleeding risk.","Combination requires close medical supervision and INR monitoring."
I029,drug,D001,drug,D003,High,"Ibuprofen combined with Warfarin increases bleeding risk through both anticoagulant effect and stomach lining irritation.","Avoid combination; use acetaminophen for pain relief instead if possible."
I030,drug,D007,drug,D012,Moderate,"Both Lisinopril and Spironolactone increase potassium retention; combined use raises risk of hyperkalemia.","Regular potassium level monitoring required when combined."
